date,os,visits
1/28/2022,(not set),4740
1/28/2022,Linux,4024
1/28/2022,Linux,3239
1/28/2022,Android,2953
1/28/2022,Linux,2826
1/28/2022,(not set),2700
1/28/2022,Android,2401
1/28/2022,Windows,2350
1/28/2022,Tizen,2255
1/28/2022,Windows,2069
1/28/2022,(not set),2009
1/28/2022,Windows,1964
1/28/2022,(not set),1737
1/28/2022,OS/2,1638
1/28/2022,Android,1447
1/28/2022,iOS,1257
1/28/2022,BlackBerry,1003
1/28/2022,(not set),1003
1/28/2022,Playstation 4,857
1/28/2022,iOS,782
1/28/2022,(not set),752
1/28/2022,Windows,732
1/28/2022,iOS,715
1/28/2022,(not set),714
1/28/2022,Windows,709
1/28/2022,(not set),696
1/28/2022,(not set),693
1/28/2022,Android,641
1/28/2022,Android,610
1/28/2022,(not set),580
1/28/2022,Windows Phone,562
1/28/2022,(not set),555
1/28/2022,iOS,539
1/28/2022,(not set),492
1/28/2022,(not set),470
1/28/2022,(not set),409
1/28/2022,Android,404
1/28/2022,iOS,381
1/28/2022,Macintosh,342
1/28/2022,iOS,334
1/28/2022,(not set),331
1/28/2022,(not set),320
1/28/2022,(not set),314
1/28/2022,iOS,309
1/28/2022,(not set),301
1/28/2022,Firefox OS,284
1/28/2022,Android,282
1/28/2022,Android,275
1/28/2022,UNIX,271
1/28/2022,(not set),255
1/28/2022,Linux,252
1/28/2022,FreeBSD,238
1/28/2022,Windows Phone,235
1/28/2022,(not set),223
1/28/2022,(not set),218
1/28/2022,BlackBerry,187
1/28/2022,iOS,169
1/28/2022,iOS,163
1/28/2022,Windows,162
1/28/2022,(not set),148
1/28/2022,(not set),144
1/28/2022,(not set),137
1/28/2022,Samsung,129
1/28/2022,(not set),126
1/28/2022,iOS,122
1/28/2022,Linux,119
1/28/2022,(not set),116
1/28/2022,(not set),115
1/28/2022,(not set),112
1/28/2022,Windows,103
1/28/2022,Playstation 3,102
1/28/2022,Linux,100
1/28/2022,(not set),95
1/28/2022,(not set),87
1/28/2022,Macintosh,84
1/28/2022,(not set),82
1/28/2022,(not set),81
1/28/2022,Windows,79
1/28/2022,Windows,78
1/28/2022,iOS,78
1/28/2022,iOS,77
1/28/2022,(not set),75
1/28/2022,(not set),74
1/28/2022,iOS,74
1/28/2022,Android,66
1/28/2022,Xbox,63
1/28/2022,OpenBSD,59
1/28/2022,Tizen,57
1/28/2022,(not set),56
1/28/2022,iOS,56
1/28/2022,Macintosh,55
1/28/2022,Linux,55
1/28/2022,(not set),51
1/28/2022,iOS,51
1/28/2022,Android,50
1/28/2022,Linux,49
1/28/2022,Android,49
1/28/2022,Macintosh,48
1/28/2022,(not set),48
1/28/2022,Windows,48
1/28/2022,Windows,47
1/28/2022,iOS,46
1/28/2022,NetBSD,44
1/28/2022,Windows,43
1/28/2022,Android,40
1/28/2022,(not set),35
1/28/2022,(not set),32
1/28/2022,Android,32
1/28/2022,iOS,31
1/28/2022,(not set),31
1/28/2022,Android,31
1/28/2022,Playstation Vita,30
1/28/2022,Android,29
1/28/2022,iOS,28
1/28/2022,(not set),28
1/28/2022,(not set),28
1/28/2022,Windows,26
1/28/2022,(not set),26
1/28/2022,Nintendo 3DS,26
1/28/2022,(not set),25
1/28/2022,Linux,25
1/28/2022,iOS,24
1/28/2022,iOS,23
1/28/2022,iOS,23
1/28/2022,SunOS,22
1/28/2022,Macintosh,22
1/28/2022,Android,22
1/28/2022,Android,22
1/28/2022,(not set),21
1/28/2022,(not set),21
1/28/2022,(not set),20
1/28/2022,FreeBSD,19
1/28/2022,(not set),18
1/28/2022,(not set),18
1/28/2022,Windows,18
1/28/2022,(not set),17
1/28/2022,iOS,16
1/28/2022,Nintendo WiiU,16
1/28/2022,(not set),16
1/28/2022,OpenBSD,15
1/28/2022,Android,15
1/28/2022,Android,15
1/28/2022,(not set),15
1/28/2022,Tizen,15
1/28/2022,(not set),15
1/28/2022,(not set),14
1/28/2022,SymbianOS,14
1/28/2022,(not set),13
1/28/2022,Macintosh,13
1/28/2022,iOS,13
1/28/2022,(not set),12
1/28/2022,(not set),12
1/28/2022,(not set),11
1/28/2022,(not set),11
1/28/2022,(not set),11
1/28/2022,Nokia,11
1/29/2022,iOS,16888730
1/29/2022,Android,10204715
1/29/2022,Windows,7081221
1/29/2022,Macintosh,2960318
1/29/2022,Windows,2192877
1/29/2022,Macintosh,1728172
1/29/2022,iOS,1610469
1/29/2022,Android,1073807
1/29/2022,Windows,805587
1/29/2022,iOS,646716
1/29/2022,Android,610637
1/29/2022,Linux,494210
1/29/2022,Chrome OS,427023
1/29/2022,Macintosh,173072
1/29/2022,Windows,162512
1/29/2022,Android,110892
1/29/2022,Android,98642
1/29/2022,iOS,97800
1/29/2022,Windows,90939
1/29/2022,Linux,66526
1/29/2022,Android,59946
1/29/2022,(not set),50904
1/29/2022,iOS,35313
1/29/2022,(not set),27425
1/29/2022,Linux,25461
1/29/2022,Macintosh,22356
1/29/2022,Android,15250
1/29/2022,Android,13048
1/29/2022,(not set),10043
1/29/2022,Macintosh,9507
1/29/2022,Windows,9313
1/29/2022,Linux,9194
1/29/2022,(not set),7518
1/29/2022,Windows,7199
1/29/2022,Macintosh,6340
1/29/2022,(not set),4470
1/29/2022,Linux,3755
1/29/2022,Android,2908
1/29/2022,Linux,2581
1/29/2022,(not set),2346
1/29/2022,Tizen,2313
1/29/2022,Android,2197
1/29/2022,Windows,2061
1/29/2022,(not set),2016
1/29/2022,OS/2,1562
1/29/2022,Windows,1496
1/29/2022,Android,1082
1/29/2022,iOS,996
1/29/2022,BlackBerry,935
1/29/2022,(not set),928
1/29/2022,Playstation 4,894
1/29/2022,iOS,741
1/29/2022,(not set),722
1/29/2022,iOS,717
1/29/2022,(not set),714
1/29/2022,(not set),694
1/29/2022,(not set),665
1/29/2022,Windows,643
1/29/2022,iOS,606
1/29/2022,Windows,604
1/29/2022,Windows Phone,562
1/29/2022,(not set),559
1/29/2022,Android,478
1/29/2022,iOS,444
1/29/2022,Android,428
1/29/2022,(not set),421
1/29/2022,(not set),412
1/29/2022,(not set),397
1/29/2022,iOS,363
1/29/2022,(not set),337
1/29/2022,Android,317
1/29/2022,Linux,281
1/29/2022,Windows Phone,280
1/29/2022,UNIX,276
1/29/2022,Macintosh,262
1/29/2022,iOS,258
1/29/2022,Android,257
1/29/2022,(not set),252
1/29/2022,Firefox OS,250
1/29/2022,Android,232
1/29/2022,(not set),232
1/29/2022,(not set),226
1/29/2022,(not set),218
1/29/2022,FreeBSD,207
1/29/2022,BlackBerry,189
1/29/2022,(not set),182
1/29/2022,iOS,169
1/29/2022,(not set),144
1/29/2022,Linux,139
1/29/2022,Samsung,128
1/29/2022,iOS,123
1/29/2022,(not set),122
1/29/2022,Windows,117
1/29/2022,Windows,104
1/29/2022,Xbox,100
1/29/2022,(not set),100
1/29/2022,(not set),98
1/29/2022,Linux,98
1/29/2022,(not set),96
1/29/2022,Playstation 3,91
1/29/2022,iOS,91
1/29/2022,(not set),86
1/29/2022,Macintosh,85
1/29/2022,(not set),80
1/29/2022,(not set),80
1/29/2022,iOS,75
1/29/2022,(not set),74
1/29/2022,Windows,73
1/29/2022,OpenBSD,70
1/29/2022,(not set),70
1/29/2022,(not set),69
1/29/2022,Macintosh,67
1/29/2022,Linux,63
1/29/2022,Android,63
1/29/2022,Android,61
1/29/2022,(not set),61
1/29/2022,Android,60
1/29/2022,Tizen,58
1/29/2022,Linux,54
1/29/2022,(not set),52
1/29/2022,Macintosh,49
1/29/2022,Android,49
1/29/2022,NetBSD,48
1/29/2022,Linux,48
1/29/2022,iOS,45
1/29/2022,Windows,44
1/29/2022,(not set),43
1/29/2022,(not set),41
1/29/2022,iOS,41
1/29/2022,iOS,39
1/29/2022,(not set),37
1/29/2022,SymbianOS,36
1/29/2022,(not set),35
1/29/2022,(not set),32
1/29/2022,(not set),32
1/29/2022,Android,31
1/29/2022,iOS,30
1/29/2022,iOS,30
1/29/2022,Android,29
1/29/2022,(not set),27
1/29/2022,(not set),26
1/29/2022,Windows,25
1/29/2022,Linux,25
1/29/2022,iOS,24
1/29/2022,iOS,23
1/29/2022,Android,23
1/29/2022,(not set),22
1/29/2022,(not set),21
1/29/2022,(not set),21
1/29/2022,Tizen,21
1/29/2022,iOS,20
1/29/2022,(not set),20
1/29/2022,(not set),20
1/29/2022,Nintendo 3DS,19
1/29/2022,Android,19
1/29/2022,Android,19
1/29/2022,Windows,18
1/29/2022,(not set),17
1/29/2022,iOS,17
1/29/2022,(not set),16
1/29/2022,(not set),16
1/29/2022,Playstation Vita,16
1/29/2022,iOS,15
1/29/2022,Sony,15
1/29/2022,(not set),15
1/29/2022,(not set),14
1/29/2022,BlackBerry,14
1/29/2022,(not set),14
1/29/2022,Linux,13
1/29/2022,Linux,13
1/29/2022,Android,13
1/29/2022,(not set),12
1/29/2022,SunOS,12
1/29/2022,Android,12
1/29/2022,(not set),12
1/29/2022,iOS,12
1/29/2022,SymbianOS,11
1/29/2022,(not set),11
1/29/2022,(not set),11
1/29/2022,iOS,11
1/29/2022,Macintosh,11
1/29/2022,Nintendo 3DS,11
1/29/2022,SymbianOS,11
1/30/2022,iOS,15198670
1/30/2022,Android,9402414
1/30/2022,Windows,7125343
1/30/2022,Macintosh,2952445
1/30/2022,Windows,2122096
1/30/2022,Macintosh,1952314
1/30/2022,iOS,1454256
1/30/2022,Android,934501
1/30/2022,Windows,759886
1/30/2022,iOS,637954
1/30/2022,Android,613927
1/30/2022,Linux,541465
1/30/2022,Chrome OS,467845
1/30/2022,Macintosh,174566
1/30/2022,Windows,149466
1/30/2022,iOS,99896
1/30/2022,Android,96342
1/30/2022,Windows,96147
1/30/2022,Android,87744
1/30/2022,Android,61703
1/30/2022,Linux,61121
1/30/2022,(not set),35531
1/30/2022,Linux,22986
1/30/2022,iOS,21626
1/30/2022,Macintosh,21373
1/30/2022,Android,15063
1/30/2022,(not set),10647
1/30/2022,(not set),9957
1/30/2022,Windows,9884
1/30/2022,Macintosh,9774
1/30/2022,Linux,9161
1/30/2022,Android,8040
1/30/2022,(not set),7545
1/30/2022,Macintosh,6558
1/30/2022,Windows,5571
1/30/2022,(not set),4968
1/30/2022,Linux,3499
1/30/2022,Android,3357
1/30/2022,Windows,2433
1/30/2022,Linux,2431
1/30/2022,Android,2268
1/30/2022,Tizen,2251
1/30/2022,(not set),2014
1/30/2022,(not set),2012
1/30/2022,OS/2,1497
1/30/2022,Windows,1307
1/30/2022,Android,1114
1/30/2022,iOS,1086
1/30/2022,iOS,976
1/30/2022,Windows,943
1/30/2022,(not set),929
1/30/2022,BlackBerry,858
1/30/2022,Playstation 4,852
1/30/2022,iOS,784
1/30/2022,(not set),770
1/30/2022,(not set),720
1/30/2022,(not set),693
1/30/2022,iOS,621
1/30/2022,(not set),563
1/30/2022,(not set),563
1/30/2022,Windows Phone,523
1/30/2022,Windows,507
1/30/2022,Android,498
1/30/2022,Android,497
1/30/2022,(not set),413
1/30/2022,(not set),384
1/30/2022,Macintosh,359
1/30/2022,Android,343
1/30/2022,iOS,337
1/30/2022,Linux,306
1/30/2022,UNIX,305
1/30/2022,Firefox OS,300
1/30/2022,Windows Phone,292
1/30/2022,(not set),261
1/30/2022,(not set),256
1/30/2022,(not set),251
1/30/2022,iOS,238
1/30/2022,FreeBSD,226
1/30/2022,Android,219
1/30/2022,iOS,216
1/30/2022,Android,216
1/30/2022,iOS,190
1/30/2022,(not set),186
1/30/2022,BlackBerry,172
1/30/2022,(not set),172
1/30/2022,(not set),171
1/30/2022,(not set),156
1/30/2022,(not set),145
1/30/2022,Linux,136
1/30/2022,(not set),127
1/30/2022,(not set),127
1/30/2022,Samsung,126
1/30/2022,Windows,121
1/30/2022,Playstation 3,110
1/30/2022,iOS,107
1/30/2022,Windows,102
1/30/2022,Android,99
1/30/2022,(not set),98
1/30/2022,(not set),96
1/30/2022,(not set),94
1/30/2022,Android,87
1/30/2022,Macintosh,86
1/30/2022,iOS,74
1/30/2022,iOS,73
1/30/2022,OpenBSD,72
1/30/2022,Linux,71
1/30/2022,Windows,68
1/30/2022,Windows,67
1/30/2022,(not set),66
1/30/2022,Macintosh,65
1/30/2022,Linux,64
1/30/2022,NetBSD,62
1/30/2022,iOS,62
1/30/2022,(not set),61
1/30/2022,Xbox,59
1/30/2022,(not set),58
1/30/2022,(not set),58
1/30/2022,(not set),56
1/30/2022,Linux,55
1/30/2022,Windows,53
1/30/2022,(not set),52
1/30/2022,iOS,50
1/30/2022,(not set),50
1/30/2022,SymbianOS,49
1/30/2022,(not set),48
1/30/2022,Android,47
1/30/2022,(not set),45
1/30/2022,(not set),44
1/30/2022,Sony,43
1/30/2022,(not set),43
1/30/2022,Macintosh,41
1/30/2022,iOS,41
1/30/2022,iOS,39
1/30/2022,Linux,38
1/30/2022,Android,34
1/30/2022,iOS,34
1/30/2022,Tizen,33
1/30/2022,FreeBSD,32
1/30/2022,Android,32
1/30/2022,Android,31
1/30/2022,(not set),29
1/30/2022,Android,29
1/30/2022,(not set),28
1/30/2022,Linux,28
1/30/2022,OpenBSD,26
1/30/2022,(not set),26
1/30/2022,Nintendo 3DS,26
1/30/2022,OS/2,26
1/30/2022,iOS,25
1/30/2022,(not set),25
1/30/2022,Android,25
1/30/2022,SunOS,24
1/30/2022,(not set),24
1/30/2022,Windows,24
1/30/2022,(not set),24
1/30/2022,NetBSD,23
1/30/2022,iOS,22
1/30/2022,(not set),22
1/30/2022,Macintosh,21
1/30/2022,SymbianOS,20
1/30/2022,Linux,20
1/30/2022,Playstation Vita,20
1/30/2022,iOS,18
1/30/2022,(not set),16
1/30/2022,(not set),16
1/30/2022,Nintendo 3DS,16
1/30/2022,(not set),15
1/30/2022,Tizen,15
1/30/2022,Macintosh,15
1/30/2022,iOS,14
1/30/2022,Linux,14
1/30/2022,SymbianOS,14
1/30/2022,(not set),13
1/30/2022,(not set),13
1/30/2022,Macintosh,13
1/30/2022,Linux,13
1/30/2022,(not set),13
1/30/2022,(not set),13
1/30/2022,Linux,12
1/30/2022,Linux,12
1/30/2022,iOS,12
1/30/2022,BlackBerry,12
1/30/2022,(not set),12
1/30/2022,iOS,11
1/30/2022,(not set),11
1/30/2022,(not set),11
1/30/2022,iOS,11
1/30/2022,(not set),11
1/30/2022,Samsung,11
1/30/2022,(not set),11
1/31/2022,iOS,23179711
1/31/2022,Windows,17446188
1/31/2022,Android,12683922
1/31/2022,Windows,5358099
1/31/2022,Macintosh,4286384
1/31/2022,Macintosh,3380967
1/31/2022,iOS,2003743
1/31/2022,Windows,1522988
1/31/2022,Android,1374816
1/31/2022,Chrome OS,1358172
1/31/2022,Windows,789751
1/31/2022,iOS,774365
1/31/2022,Android,704192
1/31/2022,Linux,542475
1/31/2022,Macintosh,296322
1/31/2022,Windows,127949
1/31/2022,Android,121068
1/31/2022,Android,112659
1/31/2022,iOS,102829
1/31/2022,Linux,99909
1/31/2022,Android,72442
1/31/2022,(not set),63006
1/31/2022,iOS,45932
1/31/2022,Linux,29595
1/31/2022,Macintosh,28228
1/31/2022,(not set),20067
1/31/2022,Android,16470
1/31/2022,Macintosh,16418
1/31/2022,Android,15848
1/31/2022,Windows,13260
1/31/2022,Windows,10909
1/31/2022,(not set),10077
1/31/2022,Macintosh,10063
1/31/2022,Linux,9749
1/31/2022,(not set),7552
1/31/2022,Android,5668
1/31/2022,(not set),5001
1/31/2022,(not set),4413
1/31/2022,Linux,4267
1/31/2022,iOS,3845
1/31/2022,Android,3632
1/31/2022,Linux,2925
1/31/2022,Windows,2348
1/31/2022,Tizen,2191
1/31/2022,(not set),2009
1/31/2022,OS/2,1743
1/31/2022,(not set),1675
1/31/2022,Android,1535
1/31/2022,iOS,1296
1/31/2022,(not set),1038
1/31/2022,BlackBerry,1027
1/31/2022,(not set),1007
1/31/2022,Windows,887
1/31/2022,Playstation 4,863
1/31/2022,Windows,787
1/31/2022,(not set),749
1/31/2022,(not set),722
1/31/2022,(not set),720
1/31/2022,iOS,704
1/31/2022,(not set),697
1/31/2022,Windows,687
1/31/2022,iOS,657
1/31/2022,Android,598
1/31/2022,iOS,560
