date,browser,os,visits
2022-01-27,Safari (in-app),iOS,787246
2022-01-27,Internet Explorer,Windows,770690
2022-01-27,Android Webview,Android,726409
2022-01-27,Chrome,Linux,590990
2022-01-27,Firefox,Macintosh,276307
2022-01-27,Opera,Windows,123782
2022-01-27,Amazon Silk,Android,117858
2022-01-27,Firefox,Linux,111516
2022-01-27,Firefox,Android,111235
2022-01-27,Welltory,iOS,98178
2022-01-27,Opera,Android,70015
2022-01-27,Emb,(not set),65375
2022-01-27,Mercari_d,iOS,41207
2022-01-27,Mozilla Compatible Agent,Macintosh,29895
2022-01-27,Samsung Internet,Linux,29323
2022-01-27,Edge,Macintosh,16677
2022-01-27,UC Browser,Android,16557
2022-01-27,Mercari_d,Android,14778
2022-01-27,YaBrowser,Windows,12436
2022-01-27,Safari,Linux,11303
2022-01-27,TE_IEP,(not set),10545
2022-01-27,Opera,Macintosh,9358
2022-01-27,ELB-HealthChecker,(not set),7538
2022-01-27,Safari,Windows,7533
2022-01-27,Opera Mini,(not set),4920
2022-01-27,Edge,Linux,4200
2022-01-27,Chrome,(not set),4102
2022-01-27,Opera Mini,Android,3340
2022-01-27,Opera,Linux,2975
2022-01-27,Mozilla Compatible Agent,Windows,2647
2022-01-27,Coc Coc,Windows,2543
2022-01-27,YaBrowser,Android,2473
2022-01-27,Samsung Internet,Tizen,2294
2022-01-27,ThousandEyes,(not set),2014
2022-01-27,SmartTraveler.iOS,(not set),1829
2022-01-27,Firefox,OS/2,1800
2022-01-27,Sparkle,iOS,1541
2022-01-27,Android Browser,Android,1304
2022-01-27,Mozilla,Windows,1155
2022-01-27,CloudWatchSynthetics,(not set),1001
2022-01-27,deepnoc - https:,(not set),997
2022-01-27,Chrome,BlackBerry,983
2022-01-27,Safari,Playstation 4,895
2022-01-27,YaBrowser,iOS,884
2022-01-27,UC Browser,iOS,817
2022-01-27,NULL,(not set),715
2022-01-27,SeaMonkey,Windows,711
2022-01-27,Mozilla Compatible Agent,(not set),709
2022-01-27,IRS - TRG19-01Loeim,(not set),704
2022-01-27,Android Runtime,Android,638
2022-01-27,Amazon.com,Android,605
2022-01-27,United States Postal Service - TRG19-01Loeim,(not set),565
2022-01-27,Instagram 218.0.0.6.105,iOS,556
2022-01-27,Safari,Windows Phone,522
2022-01-27,[FBAN,(not set),488
2022-01-27,YaBrowser,Macintosh,483
2022-01-27,Walgreens,Android,476
2022-01-27,Iron,iOS,462
2022-01-27,Carousel,(not set),410
2022-01-27,candroid,(not set),355
2022-01-27,BestBuy,iOS,331
2022-01-27,Grailed,iOS,331
2022-01-27,Coc Coc,Android,327
2022-01-27,(not set),(not set),317
2022-01-27,Chrome,UNIX,305
2022-01-27,Firefox,Firefox OS,303
2022-01-27,Lawfully-Tracker,(not set),302
2022-01-27,Puffin,Android,301
2022-01-27,Puffin,Linux,283
2022-01-27,lua-resty-http,(not set),282
2022-01-27,Microsoft Office Word 2014,(not set),269
2022-01-27,Firefox,FreeBSD,256
2022-01-27,casper,(not set),254
2022-01-27,CypressBrowser,(not set),252
2022-01-27,iPhone,iOS,201
2022-01-27,pa11y,(not set),195
2022-01-27,DoximityWebView,iOS,192
2022-01-27,Internet Explorer,Windows Phone,191
2022-01-27,Chrome,Tizen,178
2022-01-27,BlackBerry,BlackBerry,176
2022-01-27,WordPress,(not set),162
2022-01-27,HRB-MOBILE-ANDROID-PHONE-MYBLOCK-v10.1.0,(not set),160
2022-01-27,Google-Test2,(not set),151
2022-01-27,Opera Mini,Samsung,143
2022-01-27,Handshake iOS 4.11.0,(not set),142
2022-01-27,YaBrowser,Linux,135
2022-01-27,bitdiscovery,(not set),132
2022-01-27,mozilla,(not set),130
2022-01-27,UC Browser,Windows,128
2022-01-27,HRB-MOBILE-IOS-PHONE-TAXES-FACEID-11.3.0,(not set),116
2022-01-27,SeaMonkey,Linux,116
2022-01-27,Seznam,Windows,112
2022-01-27,Microsoft Office Excel 2014,(not set),109
2022-01-27,Arachnys techteam@arachnys.com,(not set),99
2022-01-27,ZhihuHybrid DefaultBrowser osee2unifiedRelease,iOS,96
2022-01-27,Coc Coc,Macintosh,95
2022-01-27,Maxthon,Windows,95
2022-01-27,DingTalkBot-LinkService,(not set),94
2022-01-27,Drupal,(not set),94
2022-01-27,Firefox,iOS,88
2022-01-27,Mobile,iOS,82
2022-01-27,HRB-MOBILE-IOS-PHONE-MYBLOCK-FACEID,(not set),81
2022-01-27,SeaMonkey,Macintosh,80
2022-01-27,Playstation 3,Playstation 3,77
2022-01-27,Firefox,OpenBSD,76
2022-01-27,Podcasts,(not set),75
2022-01-27,Edge,Xbox,68
2022-01-27,Bluebeam Revu Browser - cef version: 57.0.0.0,(not set),67
2022-01-27,MUDV4,(not set),64
2022-01-27,WWApp WWMobile,iOS,60
2022-01-27,Firefox,NetBSD,58
2022-01-27,Mozilla,Linux,55
2022-01-27,Maxthon,Android,54
2022-01-27,Windows NT 6.1,(not set),52
2022-01-27,BJS,iOS,51
2022-01-27,Maxthon,Macintosh,51
2022-01-27,LeapPadUltimate,Linux,49
2022-01-27,Netscape,Windows,47
2022-01-27,MRCHROME,Windows,46
2022-01-27,Puffin,iOS,45
2022-01-27,Revolut,Android,45
2022-01-27,Seznam,Android,44
2022-01-27,AppleCoreMedia,iOS,41
2022-01-27,Seznam,iOS,39
2022-01-27,Welltory,Android,38
2022-01-27,Safari,(not set),37
2022-01-27,UA-name:iOSDasherWebView; client-version: 2.208.0.15847.220114,(not set),37
2022-01-27,NinjBot,(not set),36
2022-01-27,Edge,iOS,34
2022-01-27,Safari,SymbianOS,34
2022-01-27,Chrome,NetBSD,33
2022-01-27,Mozilla Compatible Agent,Linux,33
2022-01-27,Handshake iOS 4.10.1,(not set),32
2022-01-27,com.airfind.deltabrowser,Android,32
2022-01-27,UA-name:iOSDasherWebView; client-version: 2.209.0.16044.220121,(not set),31
2022-01-27,Dwayne Donaldson dwayne@live.com,(not set),28
2022-01-27,Katja Helen kado12ab@gmail.com,(not set),28
2022-01-27,Nintendo Browser,Nintendo 3DS,28
2022-01-27,Chrome,OpenBSD,27
2022-01-27,Booking.App,iOS,25
2022-01-27,Firefox,SunOS,25
2022-01-27,Nintendo Browser,(not set),25
2022-01-27,OSUWMC,iOS,25
2022-01-27,Lore Document Collector 0796c8df5661a8fc945fece123861e0d,(not set),24
2022-01-27,Microsoft Office Word 2013,(not set),23
2022-01-27,Uzbl,Linux,23
2022-01-27,Lore Document Collector 16cdc1c0441e623ad417f48747de26d4,(not set),22
2022-01-27,YE,Android,22
2022-01-27,android,(not set),22
2022-01-27,com.doximity.doximitydroid,Android,22
2022-01-27,desktop,(not set),22
2022-01-27,Instagram 219.0.0.12.117 Android,(not set),21
2022-01-27,Venmo,iOS,21
2022-01-27,HRB-MOBILE-IOS-PHONE-TAXES-11.3.0,(not set),20
2022-01-27,HRB-MOBILE-IOS-PHONE-TAXES-TOUCHID-11.3.0,(not set),20
2022-01-27,http.rb,(not set),20
2022-01-27,Airbnb,iOS,19
2022-01-27,Edge,Android,19
2022-01-27,Microsoft Office Word 2014,Windows,19
2022-01-27,OfferUp,Android,19
2022-01-27,WWApp WWMobile,Android,19
2022-01-27,Iframely,(not set),18
2022-01-27,Iron,Android,18
2022-01-27,Mozilla,Macintosh,18
2022-01-27,Safari,Tizen,18
2022-01-27,Opera Mini,Tizen,17
2022-01-27,CkAndroidApp,(not set),16
2022-01-27,Maxthon,iOS,16
2022-01-27,"Not A;Brand"";v=""99""",(not set),16
2022-01-27,UnitedCustomerFacingIPhone,(not set),16
2022-01-27,Web App,(not set),15
2022-01-27,AdobeUxTechC4-Async,(not set),14
2022-01-27,DDG-Android-3.1.0,(not set),14
2022-01-27,HRB-MOBILE-IOS-PHONE-MYBLOCK-TOUCHID,(not set),14
2022-01-27,chrome-Selenium,(not set),14
2022-01-27,Handshake iOS 4.9.0,(not set),13
2022-01-27,Opera Mini,BlackBerry,13
2022-01-27,HRB-MOBILE-IOS-PHONE-MYBLOCK,(not set),12
2022-01-27,MagentaNews,(not set),12
2022-01-27,EndoscopyNow,(not set),11
2022-01-27,GSA,(not set),11
2022-01-27,Microsoft Office Excel 2014,Windows,11
2022-01-28,Safari,iOS,19965472
2022-01-28,Chrome,Windows,14599147
2022-01-28,Chrome,Android,11595330
2022-01-28,Edge,Windows,4462829
2022-01-28,Safari,Macintosh,3650846
2022-01-28,Chrome,Macintosh,2626327
2022-01-28,Chrome,iOS,1845977
2022-01-28,Firefox,Windows,1333458
2022-01-28,Samsung Internet,Android,1270417
2022-01-28,Chrome,Chrome OS,1164698
2022-01-28,Safari (in-app),iOS,740403
2022-01-28,Android Webview,Android,687725
2022-01-28,Internet Explorer,Windows,654969
2022-01-28,Chrome,Linux,537740
2022-01-28,Firefox,Macintosh,247916
2022-01-28,Amazon Silk,Android,117038
2022-01-28,Opera,Windows,114787
2022-01-28,Firefox,Android,110537
2022-01-28,Welltory,iOS,99610
2022-01-28,Firefox,Linux,95364
2022-01-28,Opera,Android,64844
2022-01-28,Emb,(not set),61011
2022-01-28,Mercari_d,iOS,41670
2022-01-28,Samsung Internet,Linux,27938
2022-01-28,Mozilla Compatible Agent,Macintosh,27027
2022-01-28,UC Browser,Android,15706
2022-01-28,Mercari_d,Android,15040
2022-01-28,Edge,Macintosh,14678
2022-01-28,YaBrowser,Windows,11390
2022-01-28,Safari,Linux,10434
2022-01-28,TE_IEP,(not set),10307
2022-01-28,Opera,Macintosh,8433
2022-01-28,ELB-HealthChecker,(not set),7513
2022-01-28,Chrome,(not set),5024
2022-01-28,Opera Mini,(not set),4740
2022-01-28,Edge,Linux,4024
2022-01-28,Mozilla Compatible Agent,Linux,3239
2022-01-28,Opera Mini,Android,2953
2022-01-28,Opera,Linux,2826
2022-01-28,bitdiscovery,(not set),2700
2022-01-28,YaBrowser,Android,2401
2022-01-28,Mozilla Compatible Agent,Windows,2350
2022-01-28,Samsung Internet,Tizen,2255
2022-01-28,Safari,Windows,2069
2022-01-28,ThousandEyes,(not set),2009
2022-01-28,Coc Coc,Windows,1964
2022-01-28,SmartTraveler.iOS,(not set),1737
2022-01-28,Firefox,OS/2,1638
2022-01-28,Android Browser,Android,1447
2022-01-28,Sparkle,iOS,1257
2022-01-28,Chrome,BlackBerry,1003
2022-01-28,CloudWatchSynthetics,(not set),1003
2022-01-28,Safari,Playstation 4,857
2022-01-28,YaBrowser,iOS,782
2022-01-28,Mozilla Compatible Agent,(not set),752
2022-01-28,Mozilla,Windows,732
2022-01-28,UC Browser,iOS,715
2022-01-28,NULL,(not set),714
2022-01-28,SeaMonkey,Windows,709
2022-01-28,JovemNerdApp,(not set),696
2022-01-28,IRS - TRG19-01Loeim,(not set),693
2022-01-28,Android Runtime,Android,641
2022-01-28,Amazon.com,Android,610
2022-01-28,deepnoc - https:,(not set),580
2022-01-28,Safari,Windows Phone,562
2022-01-28,United States Postal Service - TRG19-01Loeim,(not set),555
2022-01-28,Instagram 218.0.0.6.105,iOS,539
2022-01-28,[FBAN,(not set),492
2022-01-28,casper,(not set),470
2022-01-28,Carousel,(not set),409
2022-01-28,Walgreens,Android,404
2022-01-28,BestBuy,iOS,381
2022-01-28,YaBrowser,Macintosh,342
2022-01-28,Grailed,iOS,334
2022-01-28,Microsoft Office Word 2014,(not set),331
2022-01-28,lua-resty-http,(not set),320
2022-01-28,CypressBrowser,(not set),314
2022-01-28,Iron,iOS,309
2022-01-28,Lawfully-Tracker,(not set),301
2022-01-28,Firefox,Firefox OS,284
2022-01-28,Coc Coc,Android,282
2022-01-28,Puffin,Android,275
2022-01-28,Chrome,UNIX,271
2022-01-28,candroid,(not set),255
2022-01-28,Puffin,Linux,252
2022-01-28,Firefox,FreeBSD,238
2022-01-28,Internet Explorer,Windows Phone,235
2022-01-28,(not set),(not set),223
2022-01-28,pa11y,(not set),218
2022-01-28,BlackBerry,BlackBerry,187
2022-01-28,iPhone,iOS,169
2022-01-28,DoximityWebView,iOS,163
2022-01-28,UC Browser,Windows,162
2022-01-28,HRB-MOBILE-ANDROID-PHONE-MYBLOCK-v10.1.0,(not set),148
2022-01-28,Google-Test2,(not set),144
2022-01-28,HRB-MOBILE-IOS-PHONE-TAXES-FACEID-11.3.0,(not set),137
2022-01-28,Opera Mini,Samsung,129
2022-01-28,Microsoft Office Excel 2014,(not set),126
2022-01-28,User-Agent: Mozilla,iOS,122
2022-01-28,SeaMonkey,Linux,119
2022-01-28,{self.chrome_ua},(not set),116
2022-01-28,mozilla,(not set),115
2022-01-28,WordPress,(not set),112
2022-01-28,Seznam,Windows,103
2022-01-28,Playstation 3,Playstation 3,102
2022-01-28,YaBrowser,Linux,100
2022-01-28,MUDV4,(not set),95
2022-01-28,DingTalkBot-LinkService,(not set),87
2022-01-28,SeaMonkey,Macintosh,84
2022-01-28,HRB-MOBILE-IOS-PHONE-MYBLOCK-FACEID,(not set),82
2022-01-28,Handshake iOS 4.11.0,(not set),81
2022-01-28,IE with Chrome Frame,Windows,79
2022-01-28,Maxthon,Windows,78
2022-01-28,Mobile,iOS,78
2022-01-28,ZhihuHybrid DefaultBrowser osee2unifiedRelease,iOS,77
2022-01-28,Drupal,(not set),75
2022-01-28,Arachnys techteam@arachnys.com,(not set),74
2022-01-28,Firefox,iOS,74
2022-01-28,Revolut,Android,66
2022-01-28,Edge,Xbox,63
2022-01-28,Firefox,OpenBSD,59
2022-01-28,Chrome,Tizen,57
2022-01-28,Bluebeam Revu Browser - cef version: 57.0.0.0,(not set),56
2022-01-28,Puffin,iOS,56
2022-01-28,Coc Coc,Macintosh,55
2022-01-28,Mozilla,Linux,55
2022-01-28,UA-name:iOSDasherWebView; client-version: 2.209.0.16044.220121,(not set),51
2022-01-28,WWApp WWMobile,iOS,51
2022-01-28,Seznam,Android,50
2022-01-28,LeapPadUltimate,Linux,49
2022-01-28,Maxthon,Android,49
2022-01-28,Maxthon,Macintosh,48
2022-01-28,Windows NT 6.1,(not set),48
2022-01-28,iTunes,Windows,48
2022-01-28,Microsoft Office Word 2014,Windows,47
2022-01-28,BJS,iOS,46
2022-01-28,Firefox,NetBSD,44
2022-01-28,Netscape,Windows,43
2022-01-28,com.airfind.deltabrowser,Android,40
2022-01-28,Podcasts,(not set),35
2022-01-28,HRB-MOBILE-IOS-PHONE-TAXES-TOUCHID-11.3.0,(not set),32
2022-01-28,Welltory,Android,32
2022-01-28,Booking.App,iOS,31
2022-01-28,HRB-MOBILE-IOS-PHONE-TAXES-11.3.0,(not set),31
2022-01-28,WWApp WWMobile,Android,31
2022-01-28,Playstation Vita Browser,Playstation Vita,30
2022-01-28,YE,Android,29
2022-01-28,Edge,iOS,28
2022-01-28,Lore Document Collector 16cdc1c0441e623ad417f48747de26d4,(not set),28
2022-01-28,Safari,(not set),28
2022-01-28,"""Mozilla",Windows,26
2022-01-28,Lore Document Collector 0796c8df5661a8fc945fece123861e0d,(not set),26
2022-01-28,Nintendo Browser,Nintendo 3DS,26
2022-01-28,Ruby,(not set),25
2022-01-28,Uzbl,Linux,25
2022-01-28,AppleCoreMedia,iOS,24
2022-01-28,Seznam,iOS,23
2022-01-28,Venmo,iOS,23
2022-01-28,Firefox,SunOS,22
2022-01-28,Mozilla,Macintosh,22
2022-01-28,OfferUp,Android,22
2022-01-28,com.doximity.doximitydroid,Android,22
2022-01-28,Iframely,(not set),21
2022-01-28,UA-name:iOSDasherWebView; client-version: 2.208.0.15847.220114,(not set),21
2022-01-28,HRB-MOBILE-IOS-PHONE-MYBLOCK-TOUCHID,(not set),20
2022-01-28,Chrome,FreeBSD,19
2022-01-28,CkAndroidApp,(not set),18
2022-01-28,HRB-MOBILE-IOS-PHONE-MYBLOCK,(not set),18
2022-01-28,MRCHROME,Windows,18
2022-01-28,DDG-Android-3.1.0,(not set),17
2022-01-28,Airbnb,iOS,16
2022-01-28,Nintendo Browser,Nintendo WiiU,16
2022-01-28,SiteScoreBot v20210315 - https:,(not set),16
2022-01-28,Chrome,OpenBSD,15
2022-01-28,Edge,Android,15
2022-01-28,Iron,Android,15
2022-01-28,"Not A;Brand"";v=""99""",(not set),15
2022-01-28,Safari,Tizen,15
2022-01-28,Shop Service,(not set),15
2022-01-28,Nintendo Browser,(not set),14
2022-01-28,Safari,SymbianOS,14
2022-01-28,Chuck Norris,(not set),13
2022-01-28,Internet Explorer,Macintosh,13
2022-01-28,OSUWMC,iOS,13
2022-01-28,HRB-MOBILE-ANDROID-PHONE-MYBLOCK-v10.2.0,(not set),12
2022-01-28,Instagram 219.0.0.12.117 Android,(not set),12
2022-01-28,Android,(not set),11
2022-01-28,HRB-MOBILE-ANDROID-PHONE-MYBLOCK-FINGERPRINT,(not set),11
2022-01-28,Lawfully,(not set),11
2022-01-28,Nokia6280,Nokia,11
2022-01-29,Safari,iOS,16888730
2022-01-29,Chrome,Android,10204715
2022-01-29,Chrome,Windows,7081221
2022-01-29,Safari,Macintosh,2960318
2022-01-29,Edge,Windows,2192877
2022-01-29,Chrome,Macintosh,1728172
2022-01-29,Chrome,iOS,1610469
2022-01-29,Samsung Internet,Android,1073807
2022-01-29,Firefox,Windows,805587
2022-01-29,Safari (in-app),iOS,646716
2022-01-29,Android Webview,Android,610637
2022-01-29,Chrome,Linux,494210
2022-01-29,Chrome,Chrome OS,427023
2022-01-29,Firefox,Macintosh,173072
2022-01-29,Internet Explorer,Windows,162512
2022-01-29,Amazon Silk,Android,110892
2022-01-29,Firefox,Android,98642
2022-01-29,Welltory,iOS,97800
2022-01-29,Opera,Windows,90939
2022-01-29,Firefox,Linux,66526
2022-01-29,Opera,Android,59946
2022-01-29,Emb,(not set),50904
2022-01-29,Mercari_d,iOS,35313
2022-01-29,bitdiscovery,(not set),27425
2022-01-29,Samsung Internet,Linux,25461
2022-01-29,Mozilla Compatible Agent,Macintosh,22356
2022-01-29,UC Browser,Android,15250
2022-01-29,Mercari_d,Android,13048
2022-01-29,TE_IEP,(not set),10043
2022-01-29,Edge,Macintosh,9507
2022-01-29,YaBrowser,Windows,9313
2022-01-29,Safari,Linux,9194
2022-01-29,ELB-HealthChecker,(not set),7518
2022-01-29,Mozilla Compatible Agent,Windows,7199
2022-01-29,Opera,Macintosh,6340
2022-01-29,Opera Mini,(not set),4470
